@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
55,182,30,3,354,0.008403,0.858491,0.983784,0.858491,0.016216,0.916877,0.325132,2.640439,0.69
56,182,30,2,355,0.005602,0.858491,0.98913,0.858491,0.01087,0.919192,0.323374,2.654789,0.72
57,182,30,1,356,0.002801,0.858491,0.994536,0.858491,0.005464,0.921519,0.321617,2.669296,0.73
58,181,31,1,356,0.002801,0.853774,0.994505,0.853774,0.005495,0.918782,0.319859,2.669215,0.75
59,180,32,0,357,0,0.849057,1,0.849057,0,0.918367,0.316344,2.683962,0.77
60,179,33,0,357,0,0.84434,1,0.84434,0,0.915601,0.314587,2.683962,0.78
61,177,35,0,357,0,0.834906,1,0.834906,0,0.910026,0.311072,2.683962,0.79
62,176,36,0,357,0,0.830189,1,0.830189,0,0.907216,0.309315,2.683962,0.81
63,174,38,0,357,0,0.820755,1,0.820755,0,0.901554,0.3058,2.683962,0.82
64,173,39,0,357,0,0.816038,1,0.816038,0,0.898701,0.304042,2.683962,0.83
65,171,41,0,357,0,0.806604,1,0.806604,0,0.89295,0.300527,2.683962,0.84
66,170,42,0,357,0,0.801887,1,0.801887,0,0.890052,0.29877,2.683962,0.86
67,168,44,0,357,0,0.792453,1,0.792453,0,0.884211,0.295255,2.683962,0.87
68,166,46,0,357,0,0.783019,1,0.783019,0,0.878307,0.29174,2.683962,0.88
69,164,48,0,357,0,0.773585,1,0.773585,0,0.87234,0.288225,2.683962,0.89
70,161,51,0,357,0,0.759434,1,0.759434,0,0.863271,0.282953,2.683962,0.9
71,158,54,0,357,0,0.745283,1,0.745283,0,0.854054,0.27768,2.683962,0.91
72,156,56,0,357,0,0.735849,1,0.735849,0,0.847826,0.274165,2.683962,0.93
73,154,58,0,357,0,0.726415,1,0.726415,0,0.84153,0.27065,2.683962,0.94
74,151,61,0,357,0,0.712264,1,0.712264,0,0.831956,0.265378,2.683962,0.95
75,143,69,0,357,0,0.674528,1,0.674528,0,0.805634,0.251318,2.683962,0.96
76,138,74,0,357,0,0.650943,1,0.650943,0,0.788571,0.242531,2.683962,0.97
77,130,82,0,357,0,0.613208,1,0.613208,0,0.760234,0.228471,2.683962,0.98
78,117,95,0,357,0,0.551887,1,0.551887,0,0.711246,0.205624,2.683962,0.99
79,101,111,0,357,0,0.476415,1,0.476415,0,0.645367,0.177504,2.683962,1
80,0,212,0,357,0,0,?,0,?,?,0,?,1.00001
