@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
61,212,0,296,61,0.829132,1,0.417323,1,0.582677,0.588889,0.892794,1.120079,0.000049
62,212,0,295,62,0.826331,1,0.418146,1,0.581854,0.589708,0.891037,1.122288,0.000049
63,212,0,294,63,0.823529,1,0.418972,1,0.581028,0.590529,0.889279,1.124506,0.00005
64,212,0,293,64,0.820728,1,0.419802,1,0.580198,0.591353,0.887522,1.126733,0.000051
65,212,0,292,65,0.817927,1,0.420635,1,0.579365,0.592179,0.885764,1.128968,0.000052
66,212,0,291,66,0.815126,1,0.421471,1,0.578529,0.593007,0.884007,1.131213,0.000052
67,212,0,290,67,0.812325,1,0.422311,1,0.577689,0.593838,0.88225,1.133466,0.000055
68,212,0,289,68,0.809524,1,0.423154,1,0.576846,0.59467,0.880492,1.135729,0.000056
69,212,0,288,69,0.806723,1,0.424,1,0.576,0.595506,0.878735,1.138,0.00006
70,212,0,287,70,0.803922,1,0.42485,1,0.57515,0.596343,0.876977,1.140281,0.000061
71,212,0,286,71,0.80112,1,0.425703,1,0.574297,0.597183,0.87522,1.14257,0.000061
72,212,0,285,72,0.798319,1,0.426559,1,0.573441,0.598025,0.873462,1.144869,0.000063
73,212,0,284,73,0.795518,1,0.427419,1,0.572581,0.59887,0.871705,1.147177,0.000063
74,212,0,283,74,0.792717,1,0.428283,1,0.571717,0.599717,0.869947,1.149495,0.000064
75,212,0,282,75,0.789916,1,0.42915,1,0.57085,0.600567,0.86819,1.151822,0.000067
76,212,0,281,76,0.787115,1,0.43002,1,0.56998,0.601418,0.866432,1.154158,0.000071
77,212,0,280,77,0.784314,1,0.430894,1,0.569106,0.602273,0.864675,1.156504,0.000073
78,212,0,279,78,0.781513,1,0.431772,1,0.568228,0.603129,0.862917,1.158859,0.000075
79,212,0,278,79,0.778711,1,0.432653,1,0.567347,0.603989,0.86116,1.161224,0.000082
80,212,0,277,80,0.77591,1,0.433538,1,0.566462,0.60485,0.859402,1.163599,0.000085
81,212,0,276,81,0.773109,1,0.434426,1,0.565574,0.605714,0.857645,1.165984,0.000085
82,212,0,275,82,0.770308,1,0.435318,1,0.564682,0.606581,0.855888,1.168378,0.000089
83,212,0,274,83,0.767507,1,0.436214,1,0.563786,0.60745,0.85413,1.170782,0.000091
84,212,0,273,84,0.764706,1,0.437113,1,0.562887,0.608321,0.852373,1.173196,0.000097
85,212,0,272,85,0.761905,1,0.438017,1,0.561983,0.609195,0.850615,1.17562,0.000105
86,212,0,271,86,0.759104,1,0.438923,1,0.561077,0.610072,0.848858,1.178054,0.000105
87,212,0,270,87,0.756303,1,0.439834,1,0.560166,0.610951,0.8471,1.180498,0.000106
88,212,0,269,88,0.753501,1,0.440748,1,0.559252,0.611833,0.845343,1.182952,0.000106
89,212,0,268,89,0.7507,1,0.441667,1,0.558333,0.612717,0.843585,1.185417,0.000108
90,212,0,267,90,0.747899,1,0.442589,1,0.557411,0.613603,0.841828,1.187891,0.000108
91,212,0,266,91,0.745098,1,0.443515,1,0.556485,0.614493,0.84007,1.190377,0.000112
92,212,0,265,92,0.742297,1,0.444444,1,0.555556,0.615385,0.838313,1.192872,0.000113
93,212,0,264,93,0.739496,1,0.445378,1,0.554622,0.616279,0.836555,1.195378,0.000119
94,212,0,263,94,0.736695,1,0.446316,1,0.553684,0.617176,0.834798,1.197895,0.000127
95,212,0,262,95,0.733894,1,0.447257,1,0.552743,0.618076,0.83304,1.200422,0.000128
96,212,0,261,96,0.731092,1,0.448203,1,0.551797,0.618978,0.831283,1.20296,0.00013
97,212,0,260,97,0.728291,1,0.449153,1,0.550847,0.619883,0.829525,1.205508,0.00014
98,212,0,259,98,0.72549,1,0.450106,1,0.549894,0.620791,0.827768,1.208068,0.00014
99,212,0,258,99,0.722689,1,0.451064,1,0.548936,0.621701,0.826011,1.210638,0.000142
100,212,0,257,100,0.719888,1,0.452026,1,0.547974,0.622614,0.824253,1.21322,0.000145
101,212,0,256,101,0.717087,1,0.452991,1,0.547009,0.623529,0.822496,1.215812,0.000151
102,212,0,255,102,0.714286,1,0.453961,1,0.546039,0.624448,0.820738,1.218415,0.000151
103,212,0,254,103,0.711485,1,0.454936,1,0.545064,0.625369,0.818981,1.22103,0.000157
104,212,0,253,104,0.708683,1,0.455914,1,0.544086,0.626292,0.817223,1.223656,0.000159
105,212,0,252,105,0.705882,1,0.456897,1,0.543103,0.627219,0.815466,1.226293,0.000169
106,212,0,251,106,0.703081,1,0.457883,1,0.542117,0.628148,0.813708,1.228942,0.000171
107,212,0,250,107,0.70028,1,0.458874,1,0.541126,0.62908,0.811951,1.231602,0.000193
108,212,0,249,108,0.697479,1,0.45987,1,0.54013,0.630015,0.810193,1.234273,0.000201
109,212,0,248,109,0.694678,1,0.46087,1,0.53913,0.630952,0.808436,1.236957,0.000202
110,212,0,247,110,0.691877,1,0.461874,1,0.538126,0.631893,0.806678,1.239651,0.000206
111,212,0,246,111,0.689076,1,0.462882,1,0.537118,0.632836,0.804921,1.242358,0.000221
112,212,0,245,112,0.686275,1,0.463895,1,0.536105,0.633782,0.803163,1.245077,0.000224
113,212,0,244,113,0.683473,1,0.464912,1,0.535088,0.634731,0.801406,1.247807,0.000226
114,212,0,243,114,0.680672,1,0.465934,1,0.534066,0.635682,0.799649,1.250549,0.000244
115,212,0,242,115,0.677871,1,0.46696,1,0.53304,0.636637,0.797891,1.253304,0.000249
116,212,0,241,116,0.67507,1,0.467991,1,0.532009,0.637594,0.796134,1.256071,0.000278
117,212,0,240,117,0.672269,1,0.469027,1,0.530973,0.638554,0.794376,1.25885,0.000289
118,212,0,239,118,0.669468,1,0.470067,1,0.529933,0.639517,0.792619,1.261641,0.000307
