@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {''}
@attribute measureNumAttributesSelected numeric
@attribute measureSelectionTime numeric
@attribute measureTime numeric
@attribute measureAttributesUsed numeric
@attribute measureNumIterations numeric
@attribute measureOutOfBagError numeric

@data

R_data_frame,1,10,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.functions.SimpleLogistic -- -I 0 -M 500 -H 50 -W 0.0',-1151805453487947577,20221031.1455,513,56,55,1,0,98.214286,1.785714,0,0.961538,0.04309,0.131027,9.203324,27.064638,53.449128,5.063304,48.385824,0.954449,0.090416,0.864033,49.072887,0.876302,91.812324,0.952381,20,0,0,1,35,0.047619,1,1,0.952381,0.97561,0.96225,0.998639,0.997835,0.982143,0.029762,0.970238,0.017857,0.982639,0.982143,0.982051,0.96225,0.998639,0.998692,0.980763,0.982143,0.049,0,0.048992,0.000055,48.992,0.055,25790,144836,18247,100,57.142857,?,10,4,49,70,12,?
R_data_frame,2,1,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.functions.SimpleLogistic -- -I 0 -M 500 -H 50 -W 0.0',-1151805453487947577,20221031.1455,512,57,56,1,0,98.245614,1.754386,0,0.961924,0.027113,0.106288,5.809286,22.033091,54.123379,3.044498,51.078881,0.949533,0.053412,0.896121,51.142819,0.897242,94.493026,0.952381,20,0,0,1,36,0.047619,1,1,0.952381,0.97561,0.962622,1,1,0.982456,0.030075,0.969925,0.017544,0.98293,0.982456,0.982362,0.962622,1,1,0.980956,0.982456,0.051,0,0.048676,0.000052,48.676,0.052,25757,144559,18524,100,55.263158,?,10,4,51,70,12,?
R_data_frame,2,2,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.functions.SimpleLogistic -- -I 0 -M 500 -H 50 -W 0.0',-1151805453487947577,20221031.1455,512,57,55,2,0,96.491228,3.508772,0,0.92607,0.051452,0.139099,11.024067,28.834523,54.123379,5.45636,48.667019,0.949533,0.095726,0.853807,48.467813,0.850313,89.550604,1,21,0.055556,2,0.944444,34,0,0,0.913043,1,0.954545,0.928611,1,1,0.964912,0.020468,0.979532,0.035088,0.967963,0.964912,0.965208,0.928611,1,1,0.962987,0.964912,0.047,0,0.046799,0.000073,46.799,0.073,26005,144559,18524,100,59.649123,?,11,4,47,72.727273,15,?
R_data_frame,2,3,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.functions.SimpleLogistic -- -I 0 -M 500 -H 50 -W 0.0',-1151805453487947577,20221031.1455,512,57,54,3,0,94.736842,5.263158,0,0.885772,0.115507,0.194372,24.748568,40.292323,54.123379,11.81188,42.3115,0.949533,0.207226,0.742307,42.235638,0.740976,78.035848,0.904762,19,0.027778,1,0.972222,35,0.095238,2,0.95,0.904762,0.926829,0.886414,0.997354,0.995568,0.947368,0.070384,0.929616,0.052632,0.94744,0.947368,0.947087,0.886414,0.997354,0.997444,0.942867,0.947368,0.047,0,0.046822,0.000064,46.822,0.064,23981,144559,18524,100,73.684211,?,9,4,47,33.333333,4,?
R_data_frame,2,4,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.functions.SimpleLogistic -- -I 0 -M 500 -H 50 -W 0.0',-1151805453487947577,20221031.1455,512,57,54,3,0,94.736842,5.263158,0,0.885772,0.068602,0.213153,14.698604,44.185652,54.123379,11.339432,42.783947,0.949533,0.198937,0.750596,46.174961,0.810087,85.314262,0.904762,19,0.027778,1,0.972222,35,0.095238,2,0.95,0.904762,0.926829,0.886414,0.990741,0.985455,0.947368,0.070384,0.929616,0.052632,0.94744,0.947368,0.947087,0.886414,0.990741,0.991369,0.942867,0.947368,0.05,0.001,0.04798,0.000054,47.98,0.054,25691,144559,18524,100,57.894737,?,10,4,49,100,32,?
R_data_frame,2,5,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.functions.SimpleLogistic -- -I 0 -M 500 -H 50 -W 0.0',-1151805453487947577,20221031.1455,512,57,53,4,0,92.982456,7.017544,0,0.846154,0.068639,0.214143,14.706532,44.390812,54.123379,11.03407,43.089309,0.949533,0.19358,0.755953,46.008157,0.807161,85.00607,0.857143,18,0.027778,1,0.972222,35,0.142857,3,0.947368,0.857143,0.9,0.848668,0.988095,0.981635,0.929825,0.100459,0.899541,0.070175,0.930748,0.929825,0.929018,0.848668,0.988095,0.989009,0.922973,0.929825,0.049,0,0.048581,0.000053,48.581,0.053,23948,144559,18524,100,56.140351,?,9,4,49,100,23,?
R_data_frame,2,6,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.functions.SimpleLogistic -- -I 0 -M 500 -H 50 -W 0.0',-1151805453487947577,20221031.1455,512,57,57,0,0,100,0,0,1,0.04567,0.105177,9.785278,21.802751,54.123379,4.359119,49.76426,0.949533,0.076476,0.873057,49.673434,0.871464,91.778146,1,21,0,0,1,36,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.047,0,0.047157,0.000053,47.157,0.053,23909,144559,18524,100,60.526316,?,9,4,47,77.777778,11,?
R_data_frame,2,7,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.functions.SimpleLogistic -- -I 0 -M 500 -H 50 -W 0.0',-1151805453487947577,20221031.1455,512,57,56,1,0,98.245614,1.754386,0,0.961924,0.041899,0.146724,8.977396,30.415097,54.123379,6.875608,47.247771,0.949533,0.120625,0.828908,49.755542,0.872904,91.929852,0.952381,20,0,0,1,36,0.047619,1,1,0.952381,0.97561,0.962622,0.994709,0.992381,0.982456,0.030075,0.969925,0.017544,0.98293,0.982456,0.982362,0.962622,0.994709,0.995214,0.980956,0.982456,0.06,0,0.058035,0.000055,58.035,0.055,25925,144559,18524,98.245614,56.140351,?,11,4,60,81.818182,26,?
R_data_frame,2,8,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.functions.SimpleLogistic -- -I 0 -M 500 -H 50 -W 0.0',-1151805453487947577,20221031.1455,512,57,56,1,0,98.245614,1.754386,0,0.963297,0.037442,0.117256,7.95434,24.075563,54.878503,3.951962,50.92654,0.962781,0.069333,0.893448,50.888139,0.892774,92.728731,1,22,0.028571,1,0.971429,34,0,0,0.956522,1,0.977778,0.963946,0.998701,0.998024,0.982456,0.011028,0.988972,0.017544,0.983219,0.982456,0.982524,0.963946,0.998701,0.99875,0.981643,0.982456,0.052,0,0.051779,0.000058,51.779,0.058,26020,144559,18524,100,57.017544,?,11,4,52,72.727273,17,?
R_data_frame,2,9,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.functions.SimpleLogistic -- -I 0 -M 500 -H 50 -W 0.0',-1151805453487947577,20221031.1455,512,57,56,1,0,98.245614,1.754386,0,0.962672,0.027731,0.138471,5.891196,28.431479,54.878503,11.444126,43.434376,0.962781,0.200774,0.762007,51.862183,0.909863,94.503641,0.954545,21,0,0,1,35,0.045455,1,1,0.954545,0.976744,0.963343,0.981818,0.982323,0.982456,0.027911,0.972089,0.017544,0.982943,0.982456,0.982376,0.963343,0.981818,0.984691,0.98133,0.982456,0.049,0,0.048502,0.000055,48.502,0.055,25993,144559,18524,98.245614,52.631579,?,11,4,49,81.818182,42,?
