@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {''}
@attribute measureAttributesUsed numeric
@attribute measureNumIterations numeric

@data

R_data_frame,1,10,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 5.0; 1.0 0.0]\" -S 1 -W weka.classifiers.functions.SimpleLogistic -- -I 0 -M 500 -H 50 -W 0.0',-110658209263002404,20221031.1612,513,56,52,4,0,92.857143,7.142857,0,0.853211,0.174044,0.249624,37.172669,51.561661,53.449128,18.068738,35.380389,0.954449,0.322656,0.631793,35.162807,0.627907,65.787429,1,21,0.114286,4,0.885714,31,0,0,0.84,1,0.913043,0.862554,0.997279,0.995568,0.928571,0.042857,0.957143,0.071429,0.94,0.928571,0.929513,0.862554,0.997279,0.997373,0.926219,0.928571,0.048,0,0.04595,0.000067,45.95,0.067,11029,144836,18247,100,83.928571,?,?,?
R_data_frame,2,1,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 5.0; 1.0 0.0]\" -S 1 -W weka.classifiers.functions.SimpleLogistic -- -I 0 -M 500 -H 50 -W 0.0',-110658209263002404,20221031.1612,512,57,57,0,0,100,0,0,1,0.043057,0.09417,9.225389,19.520994,54.123379,3.988541,50.134839,0.949533,0.069974,0.879559,50.134839,0.879559,92.630651,1,21,0,0,1,36,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.051,0,0.050993,0.000082,50.993,0.082,11029,144559,18524,100,60.526316,?,?,?
R_data_frame,2,2,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 5.0; 1.0 0.0]\" -S 1 -W weka.classifiers.functions.SimpleLogistic -- -I 0 -M 500 -H 50 -W 0.0',-110658209263002404,20221031.1612,512,57,53,4,0,92.982456,7.017544,0,0.85214,0.09298,0.215017,19.922034,44.571978,54.123379,11.551281,42.572098,0.949533,0.202654,0.746879,43.474497,0.76271,80.324802,0.952381,20,0.083333,3,0.916667,33,0.047619,1,0.869565,0.952381,0.909091,0.854478,0.992063,0.988052,0.929825,0.060777,0.939223,0.070175,0.933369,0.929825,0.930417,0.854478,0.992063,0.992709,0.925974,0.929825,0.053,0,0.053002,0.000069,53.002,0.069,11029,144559,18524,100,63.157895,?,?,?
R_data_frame,2,3,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 5.0; 1.0 0.0]\" -S 1 -W weka.classifiers.functions.SimpleLogistic -- -I 0 -M 500 -H 50 -W 0.0',-110658209263002404,20221031.1612,512,57,55,2,0,96.491228,3.508772,0,0.92607,0.137115,0.209473,29.378253,43.422827,54.123379,13.954644,40.168735,0.949533,0.244818,0.704715,40.114211,0.703758,74.116236,1,21,0.055556,2,0.944444,34,0,0,0.913043,1,0.954545,0.928611,0.997354,0.995859,0.964912,0.020468,0.979532,0.035088,0.967963,0.964912,0.965208,0.928611,0.997354,0.997513,0.962987,0.964912,0.059,0,0.058195,0.00005,58.195,0.05,11029,144559,18524,100,78.947368,?,?,?
R_data_frame,2,4,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 5.0; 1.0 0.0]\" -S 1 -W weka.classifiers.functions.SimpleLogistic -- -I 0 -M 500 -H 50 -W 0.0',-110658209263002404,20221031.1612,512,57,54,3,0,94.736842,5.263158,0,0.888016,0.071132,0.175508,15.240772,36.382023,54.123379,8.263721,45.859659,0.949533,0.144978,0.804555,46.339744,0.812978,85.61872,0.952381,20,0.055556,2,0.944444,34,0.047619,1,0.909091,0.952381,0.930233,0.888635,0.996032,0.994048,0.947368,0.050543,0.949457,0.052632,0.948462,0.947368,0.94761,0.888635,0.996032,0.996344,0.94399,0.947368,0.052,0,0.052187,0.000048,52.187,0.048,11029,144559,18524,100,62.280702,?,?,?
R_data_frame,2,5,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 5.0; 1.0 0.0]\" -S 1 -W weka.classifiers.functions.SimpleLogistic -- -I 0 -M 500 -H 50 -W 0.0',-110658209263002404,20221031.1612,512,57,54,3,0,94.736842,5.263158,0,0.888016,0.087736,0.204853,18.798323,42.465133,54.123379,10.694178,43.429202,0.949533,0.187617,0.761916,44.348786,0.778049,81.940165,0.952381,20,0.055556,2,0.944444,34,0.047619,1,0.909091,0.952381,0.930233,0.888635,0.989418,0.983517,0.947368,0.050543,0.949457,0.052632,0.948462,0.947368,0.94761,0.888635,0.989418,0.990175,0.94399,0.947368,0.051,0.001,0.049889,0.000047,49.889,0.047,11029,144559,18524,100,64.035088,?,?,?
R_data_frame,2,6,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 5.0; 1.0 0.0]\" -S 1 -W weka.classifiers.functions.SimpleLogistic -- -I 0 -M 500 -H 50 -W 0.0',-110658209263002404,20221031.1612,512,57,55,2,0,96.491228,3.508772,0,0.92607,0.0668,0.183521,14.312671,38.043117,54.123379,9.133714,44.989665,0.949533,0.160241,0.789292,46.843165,0.82181,86.548856,1,21,0.055556,2,0.944444,34,0,0,0.913043,1,0.954545,0.928611,1,1,0.964912,0.020468,0.979532,0.035088,0.967963,0.964912,0.965208,0.928611,1,1,0.962987,0.964912,0.057,0,0.057591,0.000054,57.591,0.054,11029,144559,18524,100,59.649123,?,?,?
R_data_frame,2,7,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 5.0; 1.0 0.0]\" -S 1 -W weka.classifiers.functions.SimpleLogistic -- -I 0 -M 500 -H 50 -W 0.0',-110658209263002404,20221031.1612,512,57,54,3,0,94.736842,5.263158,0,0.888016,0.061153,0.176812,13.102605,36.652325,54.123379,7.496336,46.627043,0.949533,0.131515,0.818018,46.985491,0.824307,86.811821,0.952381,20,0.055556,2,0.944444,34,0.047619,1,0.909091,0.952381,0.930233,0.888635,0.996032,0.994048,0.947368,0.050543,0.949457,0.052632,0.948462,0.947368,0.94761,0.888635,0.996032,0.996344,0.94399,0.947368,0.049,0,0.049103,0.000048,49.103,0.048,11029,144559,18524,100,57.017544,?,?,?
R_data_frame,2,8,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 5.0; 1.0 0.0]\" -S 1 -W weka.classifiers.functions.SimpleLogistic -- -I 0 -M 500 -H 50 -W 0.0',-110658209263002404,20221031.1612,512,57,55,2,0,96.491228,3.508772,0,0.927203,0.068676,0.156595,14.589774,32.152755,54.878503,7.187455,47.691047,0.962781,0.126096,0.836685,47.497586,0.833291,86.55044,1,22,0.057143,2,0.942857,33,0,0,0.916667,1,0.956522,0.92967,1,1,0.964912,0.022055,0.977945,0.035088,0.967836,0.964912,0.965159,0.92967,1,1,0.963555,0.964912,0.051,0,0.049353,0.000048,49.353,0.048,11029,144559,18524,100,62.280702,?,?,?
R_data_frame,2,9,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 5.0; 1.0 0.0]\" -S 1 -W weka.classifiers.functions.SimpleLogistic -- -I 0 -M 500 -H 50 -W 0.0',-110658209263002404,20221031.1612,512,57,54,3,0,94.736842,5.263158,0,0.889891,0.049639,0.172335,10.545408,35.384518,54.878503,9.767581,45.110921,0.962781,0.171361,0.79142,49.169501,0.862623,89.597016,0.954545,21,0.057143,2,0.942857,33,0.045455,1,0.913043,0.954545,0.933333,0.890491,0.983117,0.983117,0.947368,0.049966,0.950034,0.052632,0.948378,0.947368,0.947572,0.890491,0.983117,0.98576,0.944928,0.947368,0.046,0,0.045391,0.000058,45.391,0.058,11029,144559,18524,98.245614,56.140351,?,?,?
