@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {''}

@data

R_data_frame,1,10,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 5.0; 1.0 0.0]\" -S 1 -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-110658209263002404,20221031.1622,513,56,54,2,0,96.428571,3.571429,0,0.925234,0.035714,0.188982,7.627935,39.035606,53.449128,2148,-2094.550872,0.954449,38.357143,-37.402694,49.256119,0.879574,92.155141,1,21,0.057143,2,0.942857,33,0,0,0.913043,1,0.954545,0.927831,0.971429,0.913043,0.964286,0.021429,0.978571,0.035714,0.967391,0.964286,0.964572,0.927831,0.971429,0.953998,0.962567,0.964286,0.003,0,0.001347,0.000033,1.347,0.033,10642,144836,18247,96.428571,50,?
R_data_frame,2,1,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 5.0; 1.0 0.0]\" -S 1 -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-110658209263002404,20221031.1622,512,57,57,0,0,100,0,0,1,0,0,0,0,54.123379,0,54.123379,0.949533,0,0.949533,54.123379,0.949533,100,1,21,0,0,1,36,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.001,0,0.001231,0.00004,1.231,0.04,10642,144559,18524,100,50,?
R_data_frame,2,2,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 5.0; 1.0 0.0]\" -S 1 -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-110658209263002404,20221031.1622,512,57,53,4,0,92.982456,7.017544,0,0.854962,0.070175,0.264906,15.035834,54.913872,54.123379,4296,-4241.876621,0.949533,75.368421,-74.418888,45.7419,0.802489,84.514125,1,21,0.111111,4,0.888889,32,0,0,0.84,1,0.913043,0.864099,0.944444,0.84,0.929825,0.040936,0.959064,0.070175,0.941053,0.929825,0.930812,0.864099,0.944444,0.915199,0.92711,0.929825,0.001,0,0.001053,0.000036,1.053,0.036,10642,144559,18524,92.982456,50,?
R_data_frame,2,3,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 5.0; 1.0 0.0]\" -S 1 -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-110658209263002404,20221031.1622,512,57,55,2,0,96.491228,3.508772,0,0.92607,0.035088,0.187317,7.517917,38.829971,54.123379,2148,-2093.876621,0.949533,37.684211,-36.734678,49.93264,0.876011,92.257062,1,21,0.055556,2,0.944444,34,0,0,0.913043,1,0.954545,0.928611,0.972222,0.913043,0.964912,0.020468,0.979532,0.035088,0.967963,0.964912,0.965208,0.928611,0.972222,0.955036,0.962987,0.964912,0.001,0.001,0.001127,0.000034,1.127,0.034,10642,144559,18524,96.491228,50,?
R_data_frame,2,4,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 5.0; 1.0 0.0]\" -S 1 -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-110658209263002404,20221031.1622,512,57,51,6,0,89.473684,10.526316,0,0.77821,0.105263,0.324443,22.553752,67.255483,54.123379,6444,-6389.876621,0.949533,113.052632,-112.103099,41.551161,0.728968,76.771187,0.904762,19,0.111111,4,0.888889,32,0.095238,2,0.826087,0.904762,0.863636,0.780346,0.896825,0.7825,0.894737,0.101086,0.898914,0.105263,0.898775,0.894737,0.895625,0.780346,0.896825,0.86099,0.888961,0.894737,0.001,0,0.00102,0.000034,1.02,0.034,10642,144559,18524,89.473684,50,?
R_data_frame,2,5,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 5.0; 1.0 0.0]\" -S 1 -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-110658209263002404,20221031.1622,512,57,53,4,0,92.982456,7.017544,0,0.85214,0.070175,0.264906,15.035834,54.913872,54.123379,4296,-4241.876621,0.949533,75.368421,-74.418888,45.7419,0.802489,84.514125,0.952381,20,0.083333,3,0.916667,33,0.047619,1,0.869565,0.952381,0.909091,0.854478,0.934524,0.845701,0.929825,0.060777,0.939223,0.070175,0.933369,0.929825,0.930417,0.854478,0.934524,0.906735,0.925974,0.929825,0.001,0,0.001092,0.000033,1.092,0.033,10642,144559,18524,92.982456,50,?
R_data_frame,2,6,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 5.0; 1.0 0.0]\" -S 1 -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-110658209263002404,20221031.1622,512,57,55,2,0,96.491228,3.508772,0,0.92607,0.035088,0.187317,7.517917,38.829971,54.123379,2148,-2093.876621,0.949533,37.684211,-36.734678,49.93264,0.876011,92.257062,1,21,0.055556,2,0.944444,34,0,0,0.913043,1,0.954545,0.928611,0.972222,0.913043,0.964912,0.020468,0.979532,0.035088,0.967963,0.964912,0.965208,0.928611,0.972222,0.955036,0.962987,0.964912,0.001,0,0.001026,0.00003,1.026,0.03,10642,144559,18524,96.491228,50,?
R_data_frame,2,7,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 5.0; 1.0 0.0]\" -S 1 -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-110658209263002404,20221031.1622,512,57,54,3,0,94.736842,5.263158,0,0.888016,0.052632,0.229416,11.276876,47.556808,54.123379,3222,-3167.876621,0.949533,56.526316,-55.576783,47.83727,0.83925,88.385594,0.952381,20,0.055556,2,0.944444,34,0.047619,1,0.909091,0.952381,0.930233,0.888635,0.948413,0.883345,0.947368,0.050543,0.949457,0.052632,0.948462,0.947368,0.94761,0.888635,0.948413,0.927052,0.94399,0.947368,0.001,0,0.001051,0.00003,1.051,0.03,10642,144559,18524,94.736842,50,?
R_data_frame,2,8,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 5.0; 1.0 0.0]\" -S 1 -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-110658209263002404,20221031.1622,512,57,55,2,0,96.491228,3.508772,0,0.927203,0.035088,0.187317,7.454137,38.460768,54.878503,2148,-2093.121497,0.962781,37.684211,-36.72143,50.681643,0.889152,92.352452,1,22,0.057143,2,0.942857,33,0,0,0.916667,1,0.956522,0.92967,0.971429,0.916667,0.964912,0.022055,0.977945,0.035088,0.967836,0.964912,0.965159,0.92967,0.971429,0.954294,0.963555,0.964912,0.001,0,0.001081,0.00003,1.081,0.03,10642,144559,18524,96.491228,50,?
R_data_frame,2,9,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 5.0; 1.0 0.0]\" -S 1 -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-110658209263002404,20221031.1622,512,57,55,2,0,96.491228,3.508772,0,0.925974,0.035088,0.187317,7.454137,38.460768,54.878503,2148,-2093.121497,0.962781,37.684211,-36.72143,50.681643,0.889152,92.352452,0.954545,21,0.028571,1,0.971429,34,0.045455,1,0.954545,0.954545,0.954545,0.925974,0.962987,0.928701,0.964912,0.038938,0.961062,0.035088,0.964912,0.964912,0.964912,0.925974,0.962987,0.948667,0.962987,0.964912,0.001,0,0.001087,0.000031,1.087,0.031,10642,144559,18524,96.491228,50,?
